image_name,provenance_file,provenance_sha256,provenance_size_bytes
61_1.jpg,61_1.provenance.json,0aa607d2675ac0ff5fc88448ac5b9fe5debd95124dd9225e46d8e14406135631,276
61_2.jpg,61_2.provenance.json,ea77b64c91aced0be5100aa56d4ddf13419175037b73eb973d1904ac9fbd226a,276
61_3.jpg,61_3.provenance.json,f2ce4cf7d998e7875509147332145230e811ba3dba14438dc42fe46891b6d9f2,276
61_4.jpg,61_4.provenance.json,699d96477bc0ec7e6a9963592ba789d54260c0ba2966872b19e85439bf9b26cf,276
62_0.jpg,62_0.provenance.json,8a9a8e2a0bff04ce182b9cef6e5a008d54a98b72278388a01b9263b70bb9faee,276
62_1.jpg,62_1.provenance.json,bdb99865338eee6828748a3079d6e6667670069a4ffe92f8e09d47cc13b8565d,276
62_2.jpg,62_2.provenance.json,3b1ca7a70ddde81a47590d0eb8cd331610831aee96f58217e400a6338b8eaf9a,276
62_3.jpg,62_3.provenance.json,a5fcfad9349243eb9c8fef52a8820a8046e9ec1820dc92f6b4b61b5acd4bd48c,276
62_4.jpg,62_4.provenance.json,6c939c01ce056d05fcc4d0db00f36951a7d9320767554ded7e59bd3788bfd408,276
62_5.jpg,62_5.provenance.json,266184442fdb0675cf5aa01cb6e0b6d5eef1228500f0b7e62c06ebae7f844e1c,276
63_0.jpg,63_0.provenance.json,a89d6be486b1a530ba3ed4356719654532f94bbaa23ae0269416590c6d1a3e07,276
63_1.jpg,63_1.provenance.json,cc7594a2fda807b5e3a62690b06b901828fc8eefd6303dedaaed70a65339bf78,276
63_2.jpg,63_2.provenance.json,6ffe250cddf44eec228127d19cdc87a9189c99d27f4f77983906f63a52d06a32,276
63_3.jpg,63_3.provenance.json,3a128058f769acf5e3359652a36e000af0f53c73c5051d7400478e0487376c91,276
63_4.jpg,63_4.provenance.json,73f79abb51eb24b9a561f819739217f524851a44ad7ca107d85cf52ea309952a,276
63_5.jpg,63_5.provenance.json,c588c28b41dd2dfd97c714fa797664314a9b46216a9d47fa11e20716ab02e315,276
63_6.jpg,63_6.provenance.json,e8cf6cd60bfeedddb30901aac264d9585e23dc8c43e1aa98a22158cbcaaa18c0,276
64_0.jpg,64_0.provenance.json,fcff74ebcb29bd8646843bed761e03ff4f1791c58f85d1f50d84c3e4e937f92c,276
64_1.jpg,64_1.provenance.json,dd5be23a7c27acf26ce6f9f1a1e78f6d37caa95b61ae7f70746cc307521f2ced,276
64_2.jpg,64_2.provenance.json,04e2ec532d5d9f03425b38b86d3e0daf8cbad2a9ac63dbebe6b80ee332c06a1e,276
64_3.jpg,64_3.provenance.json,874a5d8ac476781f618cd7ba56271afe5d33e63bb0bdf876d6b18f02f81a92d1,276
64_4.jpg,64_4.provenance.json,d43a995f9ee17f64c9d11243aae0e808fbe28490fcccbfdfeece883cce0d3631,276
65_0.jpg,65_0.provenance.json,78a441090943f4491ba4852c8ec7c04999f9e7a16c2236c5ca831266886de6d7,276
65_1.jpg,65_1.provenance.json,15dcee03b09ae212c694e3604ef9449295feb8649c073faf4b954218d888ff9d,276
65_2.jpg,65_2.provenance.json,2c2ae5a962d8b2dd26813fb0771322f36814e14c4027d09fdc4c9888decf55e7,276
65_3.jpg,65_3.provenance.json,b8b215ef165510d18bbd07600d7d9c7f1bef3354d1ec5cd554364b716185c266,276
65_4.jpg,65_4.provenance.json,d9e3be6cfc708dd061eb01244d7a789dab205c7e162b81e9350ca3a984fc67fb,276
65_5.jpg,65_5.provenance.json,a7f84abc3cd7c71818b22b2f5a3630e8fa2716b83f95f31b5211685c77d8dec4,276
65_6.jpg,65_6.provenance.json,76c2a7ae82c70f598137eec044a5e3750d56e817edf2ee23a85c8e491b2188bb,276
65_7.jpg,65_7.provenance.json,3cfd4faddbba2e1e8816b02a7e4843e8aa46296dab7cba6f776cd4035e47655a,276
66_0.jpg,66_0.provenance.json,6c74b324e4f5823326c20bc66d72854c09caf7503da7c59239a39dbe4bec6146,276
66_1.jpg,66_1.provenance.json,06994b73d4c37a0bb6f90985bea19dfbacc593bb40c53f785e73e4101240c6ba,276
66_2.jpg,66_2.provenance.json,36035351a012bcd93c0c59653b75ac4e232b9bd8e7eab2a31f6b5a8e90275444,276
66_3.jpg,66_3.provenance.json,6d4f0e270dd815a683108e4111d74e18a16e286da13f3e2d6cd5e337b18f501c,276
66_4.jpg,66_4.provenance.json,b41aef2a0bbf29a8b2b5acaab69ddb688e532bd7dc2e513fbc33f994e3aab801,276
66_5.jpg,66_5.provenance.json,097c908ca5da1d8d89ae94853a797d45e64f674678c2c6f99d7ff2deb6cddf28,276
67_0.jpg,67_0.provenance.json,f12a3566235b17fe3242f81ffcd390f7cb859fe70b4dff8a40e0e53aa389d619,276
68_0.jpg,68_0.provenance.json,9ab5b7191ce41cc5535ff31963f3ca6049d7ae8d58cdc09b1e7dd920f437ac60,276
68_1.jpg,68_1.provenance.json,66fb4a96053b5cba423f5aa3b2a743163b3a123b7786e2d1d4517ccd65dff889,276
69_0.jpg,69_0.provenance.json,96837d33a02a169899cb460b7f3bd540dfbdeb395bcd4ab71decdc5ed94965c9,276
69_1.jpg,69_1.provenance.json,ddfce43b4e415bb3a72e8efd8eff7894574a7cc41f7cc6b26e912310edea7c0a,276
70_0.jpg,70_0.provenance.json,a7ce4d20b121fd99d4ccef34046b393123dc928e6791b4a8265ac9ac66e0f28e,276
